path	side	git_blob	full_lines	sha256	read_coverage
src/bin/showcase/pages/panels.rs	H	c3e31c3ab3eccb7bcf79b00a11aa8b6fda1da838	221	48f6ce198480f2b42643c59440481d23c4b7a48d898a44dc683900b34432a5ca	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/editable.rs	M	379119c72101a40fce647f2a8a9131d26d6d0cb5	602	5839caec4a90c44db5850450ed6efafa09465c9952c7447425c9bd40f6b13c00	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/editable.rs	H	9ef258a56ac79b984cb0eeb66a631573eece2641	180	d033979323fb593c6ee82ed0151b3352b320e999b314acd7a2141cc6fc16663f	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/tables.rs	M	ebbe7589f22586082bd3309602d53b8a250dc4d2	619	33ec89c02756dc2a97326c23e781a26e5a99f0697c9f2a6ce964dcdfc57bb46e	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/tables.rs	H	141791e369d3d245b0ca11097c918b2dc50bc6bb	183	f06fa3f09306e42141fb51cb7fcbe3fb14fcf5b593f984fa09c538bedd4d5d29	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/grid.rs	M	7e381fc679c1092617d8e05bb3a63bb111ad770c	412	4f0a81e005b75f3dff23d1080371015532c18c8c7912fdb6f9e7af0bfa742615	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/grid.rs	H	e7cbcc312899023d64c3e6df96051ca2db57c1f3	403	7f24852bfbb1627a3fbef20e8a03560dc556817050de976d0cdcbaae9415fca8	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/editor.rs	M	d0bc3b22c9d805451601d4e9462e4c1dbe5aa318	431	4abc09f3c431beda11c392d5dfc0b710302b8a24130c34faa28844541b5b0714	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/editor.rs	H	9d192abd37e9de31e1d1b6ff9d3cce65d201d39d	571	ae1c65380285b3dd0e0035c3a2e07fd496d35737d65606415734059e7557bc5b	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/diff.rs	H	8eee874261a75f5ef3f370e8657f377b06887af4	333	19aa3ecb825cc442b70dde4c1a5483ae555fb3cb131563b8436446149d2234a5	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/perf.rs	M	461f634a803d2c9deab13ea13fde6018ebde2ac8	150	bff98496d6e599d7d0dd173b6aa3f671b77e040cd8eaff93f0c47a95baf9c26c	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/perf_baseline.txt	M	7e557fa112799bc9fc8e09524efdaf75bf10a605	2	d6869371e1ead246c287262eb5a3122e6c94406cb9f9f04fe9505aa2c1395a74	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/elapsed_contract.rs	M	5c5ceefb518c0761c4a9d7e9c975441c32807c13	202	1fe95b9072171eb60c2cfd59e041260f99286cdc4d3b5e3f59490756e66831e6	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/page_headings.rs	M	289c909524526a115c637ade49989fa9b2b0046f	52	c356be17d0a7c13cb38909f9e395a96047ce2fe0d117a0666271894edc008ca0	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/visual.rs	M	29d4272c3fe849af9b761e5f3a81154712a37357	34	8d12050ee62920b55f06b9a0e3fed4957c3c2a5c4347215c56fc3f2fab572971	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/terminal.rs	M	e252125d8f6334916b983d921f67c59922fc762c	496	40a8cc8fc684cb9b5dd85eac7e4a420b5d22e07aa6057a91f3f5653c506a0312	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/terminal.rs	H	36c1c41121711bcd0988ef418260df334e7d6a79	386	0da69eefb345f0b1fbc8ce6f982f8ee841b0e86caa2d6891e47f9c8d5936edc5	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/taskrunner.rs	M	2e3097b8d3e9e36ac48cde8e52f79dc45b3dffe1	598	80733d53bc5e949688400e8a704521a1123d017c60bcb87f07c435605c383cd5	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/taskrunner.rs	H	0dab54e19f842d920b6f48ce26ec335a598c7115	488	635a792c87f05aa24bf1c81033d1e49c4ec79f44f3755b3002c656743e18772b	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/sidebar_contract.rs	M	38958f7961ac9c906e7e6620a565f6d4b0c0b48c	195	7185939ed0369f39bebf8cad78636b2d81f93bfdc9a22cd8bee27701e0cb0481	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/settings.rs	M	a90d79f072f43db1ca50faf3ea87c48ed7f3eb63	659	958e638a70b1d3afba340c59ac9d05f6fd6eaa6eee76d9dcbecb13e853aa0a5c	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/settings.rs	H	8123f7f319a13c8e5a3ecbc2d19586c61ef684d2	592	9a309733e7a922e7497066d6a87165dde103744b51ccec0c981f20493cd60d5d	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/pickers.rs	M	177e6e459b6622b6daeb59a29b8b4425faec95c6	1169	529a372b9c26c7e3b95326d7f18b2e7494ec34e6aaee342f6f2d3a04846d019e	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/pickers.rs	H	e70cdceedb892420d1cc31d74ebf04ab75647673	446	a3163108c17130e379151eae873a01218bc22009c50516fd122928f821ab7515	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/app_tests.rs	M	f5812515fb5c9484648cbaa3395bde6490eebfa6	996	d62cc2e561ecfb9a5ff9f3ebe69367508bf11c3fc638958721d82a1ec8d07eb9	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/app_tests.rs	H	11a5d5de06cc222ffb0bfef364f1b35504f51e76	999	35db808c5d39c9da57d3050e041e03ed2865332ed7c94f4d560ed555e61854c6	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/baselines/showcase.txt	M	e32c771074ffd8bf631c449a513214d440491bb3	737	41f029976960438273f474c0528b8eab12783b103da4fc6af1a1c52c327d6572	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/fixtures/holla-page-headings.tsv	M	937469be55bff7007cfac8c036dc0909f0ad8647	352	faa2a62d72736bc6ead7b99135a7d6e3f1ff1193b8bf48dc5f424241e3ccf0c9	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/tests/fixtures/holla-shell-headers.tsv	M	6e6cebb12984f023ccdeab6d80f59dbb19267a9f	355	0c049901918b25d610dca3b3d4a693cd2621af2a6d673056159bb16988fc098b	full;semantic-disposition-in-branch-diff-showcase.md
